"ITERATION","YEN","YEN_VAL","YEN_PRICE","USD","USD_VAL","USD_PRICE","YUAN","YUAN_VAL","YUAN_PRICE","EUR","EUR_VAL","MEAN","MEAN_THRESHOLD",
"46","765959,3","1,3055519","6963,058","982871,25","1,0174268","965474,25","820361,9","1,2189741","135871,39","1052947,5","1","540314,06","270157,03",
"47","765959,3","1,0929444","5829,133","982871,25","1,0057756","954417,9","829334,1","1,0682302","120371,16","1051618,1","1","533059,06","266529,53",
"48","765959,3","1,0929444","5829,133","982871,25","1,0057756","954417,9","829334,1","1,064364","119935,516","1051618,1","1","532950,1","266475,06",
"49","765959,3","1,3055519","6963,058","982871,25","1,0174268","965474,25","829334,1","1,2057865","135871,39","1051618,1","1","539981,75","269990,88",
"50","765959,3","1,0929444","5829,133","982871,25","1,0057756","954417,9","829334,1","1,064364","119935,516","1052488,6","1","533167,75","266583,88",
"51","765959,3","1,0929444","5829,133","982871,25","1,0057756","954417,9","829334,1","1,064364","119935,516","1052488,6","1","533167,75","266583,88",
"52","765959,3","1,0929444","5829,133","982871,25","1,0057756","954417,9","775744,2","1,064364","112185,51","1060393","1","533206,4","266603,2",
"53","765959,3","1,0929444","5829,133","982871,25","1,0057756","954417,9","775744,2","1,0883297","114711,54","1060393","1","533837,9","266918,94",
"54","729034,4","1,0929444","5548,125","982871,25","1,0057756","954417,9","775744,2","1,0883297","114711,54","1060698,6","1","533844","266922",
"55","729034,4","1,1110935","5640,256","982871,25","1,0057756","954417,9","775744,2","1,0883297","114711,54","1060698,6","1","533867,06","266933,53",
"56","729034,4","1,1110935","5640,256","911157","1,0057756","884779,7","775744,2","1,0883297","114711,54","1134907,9","1","535009,9","267504,94",
"57","729034,4","1,1110935","5640,256","911157","1,0314991","907408,7","775744,2","1,0883297","114711,54","1134907,9","1","540667,1","270333,56",
"58","729034,4","1,1110935","5640,256","839622","1,0314991","836168","775744,2","1,0883297","114711,54","1208938,6","1","541364,6","270682,3",
"59","729034,4","1,1110935","5640,256","839622","1,0599988","859270,7","775744,2","1,0883297","114711,54","1208938,6","1","547140,25","273570,13",
"60","729034,4","1,3716769","6963,058","839622","1,1910117","965474,25","775744,2","1,2890846","135871,39","1208938,6","1","579311,9","289655,94",
"61","729034,4","1,3716769","6963,058","839622","1,1910117","965474,25","775744,2","1,2890846","135871,39","1208938,6","1","579311,9","289655,94",
"62","729034,4","1,1110935","5640,256","825698,2","1,0599988","845021,06","775744,2","1,0883297","114711,54","1226672,4","1","548011,3","274005,66",
"63","729034,4","1,1110935","5640,256","825698,2","1,0659238","849744,5","775744,2","1,0883297","114711,54","1226672,4","1","549192,2","274596,1",
"64","729034,4","1,1110935","5640,256","809337,9","1,0659238","832907,7","775744,2","1,0883297","114711,54","1245024,3","1","549570,94","274785,47",
"65","729034,4","1,1110935","5640,256","809337,9","1,0730584","838482,56","775744,2","1,0883297","114711,54","1245024,3","1","550964,6","275482,3",
"66","729034,4","1,1110935","5640,256","886899,94","1,0730584","918837,7","775744,2","1,0883297","114711,54","1170587","1","552444,1","276222,06",
"67","729034,4","1,1110935","5640,256","886899,94","1,0408187","891231,56","775744,2","1,0883297","114711,54","1170587","1","545542,6","272771,3",
"68","729034,4","1,1110935","5640,256","886899,94","1,0408187","891231,56","754152,56","1,0883297","111518,72","1173891","1","545570,4","272785,2",
"69","729034,4","1,1110935","5640,256","886899,94","1,0408187","891231,56","754152,56","1,0986185","112572,99","1173891","1","545833,94","272916,97",
"70","729034,4","1,3716768","6963,0576","886899,94","1,1275225","965474,25","754152,56","1,3259913","135871,38","1173891","1","570549,94","285274,97",
"71","729034,4","1,3716768","6963,0576","886899,94","1,1275225","965474,25","754152,56","1,3259913","135871,38","1173891","1","570549,94","285274,97",
"72","729034,4","1,1110935","5640,256","886899,94","1,0408187","891231,56","698949,4","1,0986185","104332,766","1184174,9","1","546344,9","273172,44",
"73","729034,4","1,1110935","5640,256","886899,94","1,0408187","891231,56","698949,4","1,1268119","107010,21","1184174,9","1","547014,25","273507,13",
"74","729034,4","1,3716768","6963,0576","886899,94","1,1275225","965474,25","698949,4","1,4307184","135871,38","1184174,9","1","573120,9","286560,44",
"75","729034,4","1,3716768","6963,0576","886899,94","1,1275225","965474,25","698949,4","1,4307184","135871,38","1184174,9","1","573120,9","286560,44",
"76","729034,4","1,1110935","5640,256","913785,25","1,0408187","918248,1","698949,4","1,1268119","107010,21","1155494,9","1","546598,4","273299,2",
"77","729034,4","1,1110934","5640,2554","913785,25","1,0305092","909152,75","698949,4","1,1268119","107010,21","1155494,9","1","544324,5","272162,25",
"78","729034,4","1,3716766","6963,056","913785,25","1,0943487","965474,3","698949,4","1,4307184","135871,38","1155494,9","1","565950,9","282975,44",
"79","729034,4","1,3716766","6963,056","913785,25","1,0943487","965474,3","698949,4","1,4307184","135871,38","1155494,9","1","565950,9","282975,44",
"80","729034,4","1,3716766","6963,056","913785,25","1,0943487","965474,3","698949,4","1,4307184","135871,38","1155494,9","1","565950,9","282975,44",
"81","729034,4","1,3716766","6963,056","913785,25","1,0943487","965474,3","698949,4","1,4307184","135871,38","1155494,9","1","565950,9","282975,44",
"82","729034,4","1,3716766","6963,056","913785,25","1,0943487","965474,3","698949,4","1,4307184","135871,38","1155494,9","1","565950,9","282975,44",
"83","729034,4","1,1110934","5640,2554","913785,25","1,0305092","909152,75","684420,94","1,1268119","104785,88","1158357,9","1","544484,2","272242,1",
"84","729034,4","1,1110934","5640,2554","913785,25","1,0305092","909152,75","684420,94","1,1347291","105522,14","1158357,9","1","544668,25","272334,13",
"85","657995,4","1,1110934","5090,6543","913785,25","1,0305092","909152,75","684420,94","1,1347291","105522,14","1158960,8","1","544681,56","272340,78",
"86","657995,4","1,1497205","5267,631","913785,25","1,0305092","909152,75","684420,94","1,1347291","105522,14","1158960,8","1","544725,8","272362,9",
"87","657995,4","1,5197663","6963,055","913785,25","1,0943484","965474,06","684420,94","1,4610888","135871,38","1158960,8","1","566817,3","283408,66",
"88","657995,4","1,1497205","5267,631","913785,25","1,0305092","909152,75","684420,94","1,1347291","105522,14","1160162,1","1","545026,1","272513,06",
"89","657995,4","1,1497205","5267,631","913785,25","1,0305092","909152,75","684420,94","1,1347291","105522,14","1160162,1","1","545026,1","272513,06",
"90","657995,4","1,5197663","6963,055","913785,25","1,0943484","965474,06","684420,94","1,4610888","135871,38","1160162,1","1","567117,6","283558,8",
"91","657995,4","1,5197663","6963,055","913785,25","1,0943484","965474,06","684420,94","1,4610888","135871,38","1160162,1","1","567117,6","283558,8",
"92","657995,4","1,1497205","5267,631","919430,6","1,0305092","914769,56","684420,94","1,1347291","105522,14","1154435,6","1","544998,75","272499,38",
"93","657995,4","1,1497205","5267,631","919430,6","1,0283958","912893,44","684420,94","1,1347291","105522,14","1154435,6","1","544529,7","272264,84",
"94","657995,4","1,1497205","5267,631","919430,6","1,0283958","912893,44","722980,44","1,1347291","111467,14","1148938,4","1","544641,6","272320,8",
"95","657995,4","1,1497205","5267,631","919430,6","1,0283958","912893,44","722980,44","1,1141863","109449,164","1148938,4","1","544137,1","272068,56",
"96","657995,4","1,1497205","5267,631","919430,6","1,0283958","912893,44","722980,44","1,1141863","109449,164","1149552","1","544290,56","272145,28",
"97","657995,4","1,1497204","5267,6304","919430,6","1,0283958","912893,44","722980,44","1,1141863","109449,164","1149552","1","544290,56","272145,28",
"98","657995,4","1,5197662","6963,0547","919430,6","1,0876291","965474,1","722980,44","1,383163","135871,38","1149552","1","564465,1","282232,56",
